SNo,ObservationDate,Province/State,Country/Region,Confirmed,Deaths,Recovered,Time,latitude,longitude
327,,Shandong,Mainland China,130,0,1,07:30 PM,27.614,115.7221
328,,Beijing,Mainland China,111,1,4,07:30 PM,43.6661,126.1923
329,,Jiangxi,Mainland China,109,0,3,07:30 PM,41.2956,122.6085
330,,Sichuan,Mainland China,108,1,1,07:30 PM,22.1667,113.55
331,,Jiangsu,Mainland China,99,0,1,07:30 PM,37.2692,106.1655
332,,Shanghai,Mainland China,96,1,5,07:30 PM,35.7452,95.9956
333,,Fujian,Mainland China,84,0,0,07:30 PM,35.1917,108.8701
334,,Guangxi,Mainland China,58,0,2,07:30 PM,36.3427,118.1498
335,,Shaanxi,Mainland China,56,0,0,07:30 PM,31.202,121.4491
336,,Yunnan,Mainland China,55,0,0,07:30 PM,37.5777,112.2922
337,,Hebei,Mainland China,48,1,0,07:30 PM,30.6171,102.7103
